grant_id,recipient,amount,agency,description,is_biotech,biotech_strategies,materials,topics
FA95501910379,NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,624110.0,,EXPERIMENTAL INVESTIGATION OF SHOCK AND DETONATION PROPAGATION THROUGH TWO-DIMENSIONAL ARRAYS OF METAL INCLUSIONS,False,,,
FA86502525517,RARE RESOURCE RECYCLING INC,5122607.0,,DEFENSE PRODUCTION ACT (DPA) TITLE III - RECOVERY AND RECYCLING OF END OF LIFE NEFEB MAGNETS THROUGH RARE EARTH EXTRACTION,False,,rare_earth,extraction;recycling
FA86502425516,RARE EARTH SALTS SEPARATIONS AND REFINING LLC,4219348.0,,"DEFENSE PRODUCTION ACT TITLE III, COMMERCIAL PRODUCTION OF HEAVY RARE EARTH ELEMENTS FROM RECYCLED LAMP PHOSPHORS",False,,rare_earth,recycling
FA86502325513,E-VAC MAGNETICS LLC,94072300.0,,MANUFACTURING FACILITY OF SINTERED RARE EARTH PERMANENT MAGNETS BASED ON NEODYMIUM-IRON-BORON (NDFEB) INCLUDING THE PRODUCTION OF THE REQUIRED RARE EA,False,,rare_earth,
FA86502227221,THE TRUSTEES OF PRINCETON UNIVERSITY,695840.0,,SYNTHESIS OF RARE EARTH ELEMENT NANOPARTICLES USING DE NOV DESIGNED PROTEINS,False,,rare_earth,materials_science
FA86502227219,UNIVERSITY OF NEW SOUTH WALES,1057095.0,,MORPHOLOGY CONTROLLED FABRICATION OF RARE EARTH MAGNETIC MATERIALS USING ENGINEERED BIOSYSTEMS,False,,rare_earth,
FA86502227218,THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,1014505.0,,BIOENGINEERED MICROBIAL SYNTHESIS OF RARE-EARTH CONTAINING NANOPARTICLES,True,biosynthesis;microbial_processes,rare_earth,materials_science
FA86502125502,MP MINE OPERATIONS LLC,9608459.0,,DEFENSE PRODUCTION ACT (DPA) TITLE III RARE EARTH ELEMENTS SEPARATION AND PROCESSING,False,,rare_earth,separation_purification
FA86502125501,LYNAS USA LLC,0.0,,DEFENSE PRODUCTION ACT (DPA) TITLE III RARE EARTH ELEMENTS SEPARATION AND PROCESSING,False,,rare_earth,separation_purification
FA23862314103,DHULIKHEL HOSPITAL KATHMANDU UNIVERSITY HOSPITAL,89406.0,,"BASIC RESEARCH FOR AOARD PROPOSAL 23IOA103 ""ANALYZING POTENTIAL MINERALS OF REE IN NEPAL AND COMPUTATIONAL AND EXPERIMENTAL STUDY OF YAG:CE PHOSPHOR B",False,,rare_earth,fundamental_science;modeling_simulation
FA23862314080,"TRIBHUVAN UNIVERSITY, INSTITUTE OF ENGINEERING",52180.0,,SYNTHESIS OF RARE EARTH ELEMENT DOPED ZIF-67 DERIVED NCNT INTERCONNECTED CONDUCTIVE POROUS CARBON FROM BIOWASTE HEMP HURD POWDER.,False,,rare_earth,materials_science
FA23862014001,THE UNIVERSITY OF ADELAIDE,30541.0,,"BASIC RESEARCH FOR AOARD PROPOSAL 20IOA001 ""NANO/MICRO-PARTICLE AND RARE EARTH DOPED GLASSES FOR MID-INFRARED FIBER LASERS AND MICROLASERS""",False,,rare_earth,fundamental_science
2538354,AUSTIN COMMUNITY COLLEGE DISTRICT,49999.0,,"INNOVATION FOR CRITICAL MINERALS: U.S. SRI LANKA WORKSHOP ON GRAPHITE RESEARCH AND DEVELOPMENT -THIS PROJECT WILL SUPPORT A FIVE-DAY GRAPHITE-FOCUSED WORKSHOP IN SRI LANKA IN APRIL 2026, INCLUDING THR",False,,uranium;critical_minerals,
2531850,NEW MEXICO STATE UNIVERSITY,300000.0,,EPSCOR RESEARCH FELLOWS @ NASA: IMMOBILIZED IONIC LIQUIDS FOR THE SELECTIVE EXTRACTION OF RARE EARTH CRITICAL ELEMENTS FROM WASTE STREAMS -THIS RESEARCH INFRASTRUCTURE IMPROVEMENT EPSCOR RESEARCH FELL,False,,rare_earth;critical_minerals,extraction
2531151,TRUSTEES OF THE COLORADO SCHOOL OF MINES,200000.0,,"PLANNING: ARCTIC FUTURES: UNDERSEA MINING, ARTIFICIAL INTELLIGENCE, AND SECURITY ON A NEW MARITIME FRONTIER -AS THE POLAR SEAS MELT, A NEW MARITIME FRONTIER IS EMERGING FROM THE ICE. THE IMMINENT OPEN",False,,,modeling_simulation
2530753,TRUSTEES OF THE COLORADO SCHOOL OF MINES,441467.0,,"COLLABORATIVE RESEARCH: CAIG: MAPPING ORE DEPOSITS WITH ARTIFICIAL INTELLIGENCE (MODAI) -HYPERSPECTRAL REMOTE SENSING IS A DATA GATHERING TECHNIQUE THAT USES ADVANCED SENSORS - ATTACHED TO SATELLITES,",False,,,exploration;modeling_simulation
2530752,CARNEGIE MELLON UNIVERSITY,757763.0,,"COLLABORATIVE RESEARCH: CAIG: MAPPING ORE DEPOSITS WITH ARTIFICIAL INTELLIGENCE (MODAI) -HYPERSPECTRAL REMOTE SENSING IS A DATA GATHERING TECHNIQUE THAT USES ADVANCED SENSORS - ATTACHED TO SATELLITES,",False,,,exploration;modeling_simulation
2528521,OREGON HEALTH & SCIENCE UNIVERSITY,591893.0,,"CAREER: MINING BIOLOGICAL FUNCTIONS FROM SINGLE CELL MULTI-OMICS DATA -BIOLOGICAL FUNCTIONAL ACTIVITIES INCLUDE INTRACELLULAR FUNCTIONS SUCH AS TRANSCRIPTIONAL REGULATION, METABOLISM, AND SIGNALING TR",False,,,
